group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
CSVD score 2,sex,LICA_diameter,1.90 [1.79–2.01],1.43 [1.28–1.59],36,21,Mann-Whitney U,633.0,2.5513608979799264e-05
CSVD score 2,sex,RICA_diameter,1.86 [1.74–1.98],1.43 [1.30–1.56],36,21,Mann-Whitney U,612.0,0.00011209318265470261
CSVD score 2,Alcohol,BA_diameter,1.10 [0.97–1.22],1.11 [0.98–1.23],21,35,Mann-Whitney U,369.0,0.9864970439218553
CSVD score 2,Alcohol,LICA_diameter,1.67 [1.51–1.83],1.76 [1.62–1.90],21,36,Mann-Whitney U,328.0,0.41285416821654797
CSVD score 2,Alcohol,RICA_diameter,1.69 [1.52–1.86],1.70 [1.57–1.84],21,36,Mann-Whitney U,385.0,0.9143686368580726
CSVD score 2,Smoke,BA_diameter,1.13 [1.03–1.23],0.98 [0.81–1.16],46,10,Mann-Whitney U,284.0,0.2524029418162447
CSVD score 2,Smoke,LICA_diameter,1.74 [1.62–1.86],1.67 [1.46–1.89],47,10,Mann-Whitney U,258.0,0.6368738663317023
CSVD score 2,Smoke,RICA_diameter,1.72 [1.59–1.84],1.62 [1.46–1.78],47,10,t-test,0.7189011708924443,0.4752451609252768
CSVD score 2,HTN,BA_diameter,1.08 [0.96–1.19],1.13 [0.99–1.28],31,25,Mann-Whitney U,356.0,0.6093979034580814
CSVD score 2,HTN,LICA_diameter,1.73 [1.57–1.88],1.73 [1.58–1.88],32,25,Mann-Whitney U,393.0,0.9167479906864339
CSVD score 2,HTN,RICA_diameter,1.68 [1.54–1.83],1.72 [1.56–1.87],32,25,Mann-Whitney U,359.0,0.5148474497092976
CSVD score 2,DM,BA_diameter,1.05 [0.96–1.15],1.22 [1.04–1.41],40,16,Mann-Whitney U,235.0,0.125382188446035
CSVD score 2,DM,LICA_diameter,1.72 [1.59–1.85],1.74 [1.56–1.93],41,16,Mann-Whitney U,312.0,0.7831100176564995
CSVD score 2,DM,RICA_diameter,1.70 [1.57–1.82],1.70 [1.50–1.90],41,16,Mann-Whitney U,318.0,0.8660224650029782
CSVD score 2,Dyslipidemia,BA_diameter,1.08 [0.97–1.19],1.13 [0.98–1.28],31,25,Mann-Whitney U,373.0,0.8175137041101844
CSVD score 2,Dyslipidemia,LICA_diameter,1.71 [1.56–1.87],1.75 [1.60–1.89],32,25,Mann-Whitney U,375.0,0.693580037696546
CSVD score 2,Dyslipidemia,RICA_diameter,1.69 [1.53–1.84],1.71 [1.57–1.86],32,25,Mann-Whitney U,359.0,0.5148474497092976
SVD type 0,ICASS,BA_diameter,1.12 [1.06–1.18],1.05 [0.92–1.18],80,24,Mann-Whitney U,1091.0,0.31401678367341
SVD type 0,ICASS,LICA_diameter,1.74 [1.56–1.96],1.72 [1.51–1.93],80,24,Mann-Whitney U,1042.0,0.5294890677897545
SVD type 0,ICASS,RICA_diameter,1.73 [1.65–1.81],1.73 [1.53–1.93],80,24,Mann-Whitney U,975.0,0.9109265403036811
SVD type 0,ICAS,BA_diameter,1.11 [1.05–1.17],1.01 [0.80–1.21],96,8,Mann-Whitney U,465.0,0.3325488870300284
SVD type 0,ICAS,LICA_diameter,1.76 [1.68–1.84],1.82 [1.41–2.24],96,8,Mann-Whitney U,333.0,0.5447196335279595
SVD type 0,ICAS,RICA_diameter,1.72 [1.64–1.80],1.84 [1.42–2.25],96,8,Mann-Whitney U,333.0,0.5447196335279595
SVD type 0,sex,BA_diameter,1.16 [1.09–1.23],0.98 [0.89–1.08],72,32,Mann-Whitney U,1563.0,0.003838570429302532
SVD type 0,sex,LICA_diameter,1.91 [1.81–2.00],1.45 [1.35–1.56],72,32,Mann-Whitney U,1908.0,1.0322658685479428e-07
SVD type 0,sex,RICA_diameter,1.87 [1.79–1.96],1.40 [1.31–1.50],72,32,t-test,6.648382714007095,1.490442039721168e-09
SVD type 0,Alcohol,BA_diameter,1.16 [1.01–1.25],1.07 [1.00–1.15],34,70,Mann-Whitney U,1429.0,0.09839049994045083
SVD type 0,Alcohol,LICA_diameter,1.86 [1.74–1.97],1.72 [1.61–1.83],34,70,Mann-Whitney U,1429.0,0.09839049994045083
SVD type 0,Alcohol,RICA_diameter,1.87 [1.76–1.99],1.66 [1.56–1.75],34,70,Mann-Whitney U,1564.0,0.009647849768970035
SVD type 0,Smoke,BA_diameter,1.13 [1.07–1.20],0.98 [0.86–1.09],84,20,Mann-Whitney U,1105.0,0.029142078500866444
SVD type 0,Smoke,LICA_diameter,1.84 [1.76–1.93],1.44 [1.29–1.59],84,20,Mann-Whitney U,1325.0,6.439762754369137e-05
SVD type 0,Smoke,RICA_diameter,1.81 [1.73–1.89],1.39 [1.26–1.52],84,20,Mann-Whitney U,1361.0,1.7626575814697336e-05
SVD type 0,HTN,BA_diameter,1.12 [1.05–1.19],1.05 [0.96–1.15],77,27,Mann-Whitney U,1180.0,0.2992707104957185
SVD type 0,HTN,LICA_diameter,1.81 [1.72–1.90],1.64 [1.48–1.80],77,27,Mann-Whitney U,1310.0,0.0453003901882632
SVD type 0,HTN,RICA_diameter,1.77 [1.68–1.86],1.61 [1.46–1.76],77,27,Mann-Whitney U,1291.0,0.06274655055573321
SVD type 0,DM,BA_diameter,1.10 [1.04–1.16],1.10 [0.80–1.39],98,6,Mann-Whitney U,296.0,0.9837368989282178
SVD type 0,DM,LICA_diameter,1.75 [1.67–1.83],2.05 [1.47–2.63],98,6,Mann-Whitney U,196.0,0.178591955755783
SVD type 0,DM,RICA_diameter,1.71 [1.63–1.79],1.99 [1.51–2.48],98,6,Mann-Whitney U,187.0,0.14052658527725112
SVD type 0,Dyslipidemia,BA_diameter,1.11 [1.03–1.19],1.09 [1.00–1.18],65,39,Mann-Whitney U,1320.0,0.7269777337451173
SVD type 0,Dyslipidemia,LICA_diameter,1.77 [1.66–1.87],1.77 [1.62–1.91],65,39,Mann-Whitney U,1339.0,0.6335599807182926
SVD type 0,Dyslipidemia,RICA_diameter,1.73 [1.63–1.82],1.73 [1.59–1.87],65,39,Mann-Whitney U,1313.0,0.762539358471265
SVD type 1,ICASS,BA_diameter,0.97 [0.90–1.30],0.89 [0.69–1.09],24,7,Mann-Whitney U,120.0,0.09402888299440024
SVD type 1,ICASS,LICA_diameter,1.62 [1.30–2.17],1.65 [1.08–2.21],24,7,Mann-Whitney U,98.0,0.5320342640921062
SVD type 1,ICASS,RICA_diameter,1.70 [1.51–1.89],1.62 [1.05–2.19],24,7,Mann-Whitney U,98.0,0.5320342640921062
SVD type 1,ICAS,BA_diameter,0.93 [0.90–1.27],0.82 [0.07–1.57],28,3,Mann-Whitney U,62.0,0.20378197997775305
SVD type 1,ICAS,LICA_diameter,1.62 [1.31–2.17],1.43 [-0.10–2.95],28,3,Mann-Whitney U,63.0,0.18064516129032257
SVD type 1,ICAS,RICA_diameter,1.72 [1.53–1.90],1.36 [-0.04–2.75],28,3,Mann-Whitney U,62.0,0.20378197997775305
SVD type 1,sex,BA_diameter,1.08 [0.92–1.38],0.87 [0.72–1.01],20,11,Mann-Whitney U,174.0,0.008750011959814024
SVD type 1,sex,LICA_diameter,1.89 [1.65–2.13],1.24 [1.20–1.47],20,11,Mann-Whitney U,172.0,0.011113878749909416
SVD type 1,sex,RICA_diameter,1.85 [1.64–2.07],1.38 [1.13–1.63],20,11,Mann-Whitney U,175.0,0.00774575170514943
SVD type 1,Alcohol,BA_diameter,1.20 [0.87–1.54],0.93 [0.84–1.22],7,24,Mann-Whitney U,104.0,0.3651456984493692
SVD type 1,Alcohol,LICA_diameter,1.81 [1.31–2.30],1.60 [1.24–2.13],7,24,Mann-Whitney U,94.0,0.660601808277003
SVD type 1,Alcohol,RICA_diameter,1.74 [1.34–2.14],1.67 [1.45–1.88],7,24,Mann-Whitney U,92.0,0.729005257503589
SVD type 1,Smoke,BA_diameter,1.02 [0.90–1.30],0.87 [0.68–1.06],24,7,Mann-Whitney U,115.0,0.15270756681212744
SVD type 1,Smoke,LICA_diameter,1.72 [1.38–2.17],1.46 [1.01–1.90],24,7,Mann-Whitney U,120.0,0.09402888299440024
SVD type 1,Smoke,RICA_diameter,1.76 [1.55–1.96],1.43 [1.07–1.79],24,7,Mann-Whitney U,118.0,0.11498968464485705
SVD type 1,HTN,BA_diameter,0.92 [0.86–1.26],1.05 [0.85–1.25],23,8,Mann-Whitney U,89.0,0.911982861615787
SVD type 1,HTN,LICA_diameter,1.58 [1.30–2.01],1.81 [1.32–2.31],23,8,Mann-Whitney U,83.0,0.7068049653144202
SVD type 1,HTN,RICA_diameter,1.66 [1.47–1.86],1.75 [1.25–2.24],23,8,Mann-Whitney U,87.0,0.8422605680892666
SVD type 1,DM,BA_diameter,0.91 [0.83–1.21],1.25 [0.86–1.63],24,7,Mann-Whitney U,45.0,0.06820189574360876
SVD type 1,DM,LICA_diameter,1.48 [1.24–1.90],1.95 [1.46–2.44],24,7,Mann-Whitney U,56.0,0.19865567629750056
SVD type 1,DM,RICA_diameter,1.62 [1.41–1.82],1.90 [1.50–2.30],24,7,Mann-Whitney U,50.0,0.11498968464485705
SVD type 1,Dyslipidemia,BA_diameter,1.06 [0.90–1.22],0.97 [0.92–1.23],21,10,Mann-Whitney U,87.0,0.4595973861839423
SVD type 1,Dyslipidemia,LICA_diameter,1.58 [1.23–2.14],1.81 [1.40–2.22],21,10,Mann-Whitney U,88.0,0.48564493877199044
SVD type 1,Dyslipidemia,RICA_diameter,1.65 [1.43–1.87],1.75 [1.38–2.11],21,10,Mann-Whitney U,92.0,0.5973456715788438
SVD type 2,ICASS,BA_diameter,1.12 [0.92–1.33],1.20 [0.57–1.83],12,5,Mann-Whitney U,26.0,0.7213962508080154
SVD type 2,ICASS,LICA_diameter,1.72 [1.47–1.97],1.94 [1.53–2.34],12,5,Mann-Whitney U,21.0,0.3826761473820297
